logEC50,smile,Cation,Anion
2.2415190245,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.16,CCOC[N+]1(C)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCOC[N+]1(C)CCCCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.3,CCCC[n+]1ccccc1.N#CN=C=[N-],CCCC[n+]1ccccc1,N#CN=C=[N-]
3.42,CCCC[n+]1cc(C)cc(C)c1.[Cl-],CCCC[n+]1cc(C)cc(C)c1,[Cl-]
0.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
3.57,C[n+]1cc[nH]c1.O=C([O-])C(F)(F)F,C[n+]1cc[nH]c1,O=C([O-])C(F)(F)F
2.54,CCn1cc[n+](CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](CC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.517147543,CCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1,[I-]
4.0881799155,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F
0.59,CCCCCCCC[n+]1cc(CC)ccc1C.[Br-],CCCCCCCC[n+]1cc(CC)ccc1C,[Br-]
1.88,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
4.07,CC(=O)[O-].C[n+]1cc[nH]c1,C[n+]1cc[nH]c1,CC(=O)[O-]
2.91,CCOC(=O)C[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCOC(=O)C[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
4.23,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N
2.09,COCC[n+]1ccccc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,COCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
